X,Y,Z
-3.06,0.009999999,9.4
-3.1,-0.009999999,9.43
-3.11,-0.009999999,9.49
-3.11,0.02,9.41
-3.14,0.11,9.45
-3.06,0.11,9.44
-3.1,0.11,9.39
-3.14,0.08,9.33
-3.27,0.06,9.4
-3.3,0.03,9.48
-3.3,0.04,9.41
-3.27,0.04,9.45
-3.3,0.11,9.42
-3.32,0.07,9.41
-3.24,0.07,9.45
-3.22,0.1,9.43
-3.22,0.07,9.39
-3.22,0.06,9.36
-3.23,0.09,9.33
-3.26,0.11,9.4
-3.27,0.11,9.45
-3.23,0.07,9.48
-3.15,0.07,9.47
-3.2,0.1,9.38
-3.17,0.1,9.39
-3.17,0.06,9.42
-3.18,0.05,9.43
-3.27,0.0,9.36
-3.29,0.05,9.39
-3.26,0.05,9.36
-3.27,0.09,9.37
-3.26,0.11,9.42
-3.3,0.1,9.38
-3.3,0.05,9.42
-3.33,0.03,9.43
-3.35,0.05,9.36
-3.35,0.06,9.4
-3.27,0.06,9.35
-3.26,0.1,9.41
-3.3,0.04,9.46
-3.3,0.06,9.4
-3.22,0.07,9.41
-3.22,0.06,9.43
-3.24,0.08,9.31
-3.22,0.1,9.43
-3.17,0.05,9.47
-3.23,0.14,9.44
-3.19,0.16,9.31
-3.2,0.05,9.32
-3.28,0.07,9.43
-3.24,0.03,9.51
-3.31,0.02,9.45
-3.26,0.08,9.4
-3.27,0.12,9.42
-3.2,0.14,9.37
-3.22,0.1,9.38
-3.19,0.11,9.45
-3.15,0.04,9.45
-3.17,0.05,9.45
-3.24,0.08,9.44
-3.29,0.06,9.45
-3.27,0.04,9.37
-3.31,0.09,9.39
-3.25,0.12,9.4
-3.3,0.11,9.34
-3.23,0.1,9.41
-3.24,0.11,9.45
-3.17,0.03,9.49
-3.12,0.07,9.43
-3.13,0.08,9.38
-3.23,0.11,9.42
-3.23,0.1,9.3
-3.3,0.11,9.34
-3.28,0.08,9.43
-3.23,0.07,9.42
-3.23,0.08,9.45
-3.19,0.09,9.42
-3.17,0.1,9.45
-3.18,0.12,9.45
-3.15,0.13,9.38
-3.19,0.1,9.4
-3.19,0.1,9.45
-3.26,0.07,9.37
-3.3,0.12,9.34
-3.26,0.11,9.33
-3.22,0.13,9.23
-3.25,0.11,9.41
-3.23,0.1,9.38
-3.18,0.1,9.37
-3.2,0.11,9.37
-3.18,0.11,9.36
-3.18,0.11,9.39
-3.25,0.11,9.43
-3.15,0.11,9.45
-3.19,0.08,9.38
-3.16,0.07,9.44
-3.19,0.11,9.42
-3.17,0.1,9.35
-3.25,0.08,9.44
-3.24,0.11,9.45
-3.2,0.09,9.39
-3.26,0.13,9.41
-3.27,0.14,9.37
-3.22,0.11,9.37
-3.19,0.11,9.37
-3.15,0.11,9.42
-3.22,0.11,9.38
-3.22,0.1,9.37
-3.13,0.11,9.44
-3.23,0.17,9.39
-3.2,0.15,9.38
-3.21,0.12,9.4
-3.22,0.09,9.42
-3.21,0.1,9.42
-3.18,0.11,9.45
-3.23,0.09,9.35
-3.18,0.11,9.38
-3.15,0.11,9.41
-3.17,0.1,9.39
-3.19,0.13,9.38
-3.2,0.1,9.41
-3.19,0.12,9.41
-3.14,0.11,9.49
-3.21,0.08,9.34
-3.17,0.12,9.43
-3.2,0.11,9.47
-3.17,0.14,9.46
-3.18,0.11,9.22
-3.21,0.12,9.39
-3.23,0.06,9.6
-3.26,0.14,9.39
-3.18,0.14,9.34
-3.13,0.1,9.45
-3.11,0.08,9.46
-3.15,0.07,9.45
-3.12,0.1,9.39
-3.21,0.08,9.33
-3.22,0.05,9.42
-3.08,0.08,9.41
-3.07,0.11,9.37
-3.09,0.13,9.29
-3.2,0.13,9.39
-3.23,0.12,9.5
-3.21,0.12,9.56
-3.28,0.11,9.51
-3.27,0.1,9.43
-3.25,0.1,9.43
-3.21,0.12,9.41
-3.2,0.16,9.46
-3.15,0.14,9.46
-3.11,0.15,9.47
-3.13,0.16,9.43
-3.07,0.06,9.46
-3.04,0.11,9.51
-3.07,0.1,9.45
-3.12,0.09,9.28
-3.13,0.16,9.38
-3.17,0.11,9.4
-3.22,0.08,9.4
-3.24,0.08,9.45
-3.16,0.11,9.41
-3.14,0.11,9.47
-3.19,0.12,9.51
-3.19,0.12,9.5
-3.18,0.12,9.47
-3.17,0.15,9.44
-3.17,0.1,9.42
-3.2,0.09,9.41
-3.12,0.14,9.31
-3.24,0.11,9.38
-3.21,0.12,9.48
-3.22,0.09,9.53
-3.15,0.16,9.58
-3.15,0.13,9.47
-3.06,0.17,9.43
-3.08,0.14,9.35
-3.13,0.11,9.41
-3.16,0.12,9.45
